,v1,v2,v3,v4,v5,
20,0.08188693523406983,0.21031951904296875,0.20044479370117188,2.983007574081421,2.8476865768432615,
30,0.22602665424346924,0.40705060958862305,0.5639138460159302,3.2385233879089355,3.060953903198242,
40,0.2918210029602051,0.5193197011947632,0.5353966236114502,3.2488895416259767,3.047732043266296,
50,0.5718974590301513,0.861975884437561,1.346624994277954,3.929833745956421,3.3197733640670775,
